name,redshift,dm,dmerr,host,type,coordinates
2017glk,0.07,36.50320361,0.065961195,,SN Ia,03:28:57.150 -07:05:39.41
2018agb,0.042006,34.14068682,0.258529352,ESO 203- G 013,SN Ia,04:57:31.471 -50:10:27.19
2018br,0.063,35.73325717,0.047186785,,SN Ia,03:07:52.646 -45:44:25.12
2018hhn,0.0288,33.0944199,0.132393241,UGC 12222,SN Ia,22:52:32.060 +11:40:26.70
2018hib,0.016291,31.52616609,0.2765386,,SN Ia,02:56:21.270 -32:11:08.77
2018hjw,0.038,35.85194352,0.190526838,,SN Ia-91T-like,07:53:02.172 +07:16:31.48
2019bka,0.024,34.37115752,0.033336179,ABELL 1367:[GP82] 0726,SN Ia-91T-like,11:44:25.757 +19:42:47.95
2019sgr,0.032,36.08617145,0.055651574,,SN Ia,17:27:06.119 -00:21:42.75
2019shu,0.057123,37.49561646,0.051254954,,SN Ia,05:36:13.139 -03:20:32.68
2020abjl,0.079,38.71661525,0.228084699,,SN Ia,05:06:08.430 -11:14:05.67
2020abkq,0.062,34.3520288,0.126809443,WISEA J093022.57-212710.6,SN Ia,09:30:22.531 -21:27:12.93
2020acai,0.02147,35.79111719,0.350476326,UGC 09625,SN Ia,14:57:44.160 +06:37:51.49
2020acei,0.082,35.93511054,0.154285578,WISEA J094405.60-181129.6,SN Ia,09:44:05.626 -18:11:31.80
2020ackf,0.063,35.20436123,0.973962336,,SN Ia,06:53:39.252 +19:05:13.01
2020acrz,0.069,35.72704133,0.303197964,,SN Ia,05:32:59.255 -19:07:02.63
2020acts,0.06,37.25847457,0.067530216,GALEXASC J055752.53-213306.8,SN Ia,05:57:52.735 -21:33:08.49
2020wtp,0.07,34.34083615,0.086349705,,SN Ia,08:19:59.713 +07:47:37.23
2020wts,0.05,36.78863632,0.198366238,WISEA J055655.06-211926.2,SN Ia,05:56:55.115 -21:19:26.84
2020xoc,0.13,39.41092523,0.163007743,,SN Ia,01:32:09.409 -15:13:57.50
2020zyy,0.059,37.10421574,0.172547816,,SN Ia-91T-like,06:16:39.244 -21:29:59.28
2021aafa,0.1,35.37662674,0.249453056,,SN Ia-91T-like,01:01:43.084 -13:40:13.34
2021aele,0.077,33.39927929,0.165327096,,SN Ia,03:35:32.564 -28:30:51.62
