,name,redshift,dm,dmerr,bmax,bmaxerr,babs,atlas,ztf,sofi
0,2017glk,0.07,36.50320361,0.065961195,15.08715093,0.028822415,-22.43163583,1,1,1
1,2018agb,0.042006,34.14068682,0.258529352,18.6575941,0.122538061,-17.70823935,1,1,1
2,2018br,0.063,35.73325717,0.047186785,17.20863508,0.020909833,-20.07052079,1,1,1
3,2018hhn,0.0288,33.0944199,0.132393241,18.88148492,0.079590616,-16.64336837,1,1,1
4,2018hib,0.016291,31.52616609,0.2765386,19.84251351,0.104009113,-14.42447968,1,1,1
5,2018hjw,0.038,35.85194352,0.190526838,18.63189886,0.10814367,-17.50985141,1,1,1
6,2019bka,0.024,34.37115752,0.033336179,14.64988699,0.022579561,-20.47118552,1,1,1
7,2019sgr,0.032,36.08617145,0.055651574,16.59059839,0.02060116,-19.16826184,1,1,1
8,2019shu,0.057123,37.49561646,0.051254954,16.63439202,0.017937732,-20.42292872,1,1,1
9,2019so,0.015,49.57134276,0.399227341,6.856187445,0.146907177,-27.22937217,1,1,1
10,2020abjl,0.079,38.71661525,0.228084699,17.63165707,0.131583003,-20.16355963,1,1,1
11,2020abkq,0.062,34.3520288,0.126809443,18.93776117,0.075310402,-18.30509253,1,1,1
12,2020acaf,0.077,493.4001832737380,199.1850811347450,17.50060112,0.476011364,-20.2358856,1,1,1
13,2020acai,0.02147,35.79111719,0.350476326,15.91980845,0.19459055,-18.95519549,1,1,1
14,2020acei,0.082,35.93511054,0.154285578,19.46524053,0.083665932,-18.41546611,1,1,1
15,2020ackf,0.063,35.20436123,0.973962336,17.58345034,0.636790901,-19.69570554,1,1,1
16,2020acrz,0.069,35.72704133,0.303197964,19.56987912,0.152912584,-17.91612041,1,1,1
17,2020acts,0.06,37.25847457,0.067530216,15.3663763,0.032082077,-21.80215282,1,1,1
18,2020wtp,0.07,34.34083615,0.086349705,19.72422115,0.044823211,-17.79456562,1,1,1
19,2020wts,0.05,36.78863632,0.198366238,18.43661577,0.081064386,-18.32026112,1,1,1
